DATUM,PRIS,BERÄKNAT_SUBSTANSVÄRDE,Rabatt/Premie,Nuvarande rabatt minus snitt,Genomsnittsrabatt senaste 100 handelsdagarna,Avkastning 200 handelsdagar,OMX Date,Index  Value,Avkastning OMXS#=
2016-11-28,"83,85","80,5","0,960047704",#REF!,#REF!,"26,89%",2016-11-28,"1 472,68149394985","7,80%"
2016-11-29,"83,725","80,75","0,964467005",#REF!,#REF!,"26,60%",2016-11-29,"1 467,17810181225","7,61%"
2016-11-30,"84,075","81,75","0,97234612",#REF!,#REF!,"27,51%",2016-11-30,"1 481,14084903734","6,86%"
2016-12-01,"83,4",81,"0,971223022",#REF!,#REF!,"29,14%",2016-12-01,"1 477,95113060148","7,20%"
2016-12-02,"83,275","80,5","0,966676674",#REF!,#REF!,"29,69%",2016-12-02,"1 470,08278175541","7,84%"
2016-12-05,"84,5","80,25","0,949704142",#REF!,#REF!,"29,47%",2016-12-05,"1 483,28616856019","7,62%"
2016-12-06,"84,05","80,25","0,954788816",#REF!,#REF!,"30,16%",2016-12-06,"1 492,17069893477","7,28%"
2016-12-07,"83,5","79,75","0,95508982",#REF!,#REF!,"30,30%",2016-12-07,"1 503,95381258581","6,66%"
2016-12-08,"84,25","79,75","0,946587537",#REF!,#REF!,"27,60%",2016-12-08,"1 520,14803621574","5,96%"
2016-12-09,"84,625","80,5","0,951255539",#REF!,#REF!,"27,50%",2016-12-09,"1 534,27294885465","5,83%"
2016-12-12,"84,3","80,5","0,954922894",#REF!,#REF!,"29,66%",2016-12-12,"1 537,92540271028","5,66%"
2016-12-13,"84,35","81,5","0,966212211",#REF!,#REF!,"30,76%",2016-12-13,"1 550,99848301163","5,60%"
2016-12-14,85,"81,5","0,958823529",#REF!,#REF!,"30,47%",2016-12-14,"1 541,38807128439","6,44%"
2016-12-15,"85,45","81,75","0,956699824",#REF!,#REF!,"31,42%",2016-12-15,"1 550,51630921426","6,36%"
2016-12-16,"85,225","82,25","0,965092402",#REF!,#REF!,"32,94%",2016-12-16,"1 548,19522963514","6,65%"
2016-12-19,"85,375","82,5","0,966325037",#REF!,#REF!,"32,01%",2016-12-19,"1 542,70913908366","7,16%"
2016-12-20,"85,525","82,5","0,964630225",#REF!,#REF!,"31,54%",2016-12-20,"1 536,72487564366","7,13%"
2016-12-21,"84,875",82,"0,966126657",#REF!,#REF!,"32,90%",2016-12-21,"1 525,46718314733","8,03%"
2016-12-22,"83,875","82,5","0,983606557",#REF!,#REF!,"35,68%",2016-12-22,"1 519,53883878117","8,21%"
2016-12-23,"84,125","82,25","0,977711738",#REF!,#REF!,"35,51%",2016-12-23,"1 525,80136402455","7,60%"
2016-12-27,"83,875",83,"0,989567809",#REF!,#REF!,"37,82%",2016-12-27,"1 533,31070328142","7,26%"
2016-12-28,"84,55",83,"0,981667652",#REF!,#REF!,"36,61%",2016-12-28,"1 527,30402144374","7,54%"
2016-12-29,"85,2","82,5","0,968309859",#REF!,#REF!,"35,92%",2016-12-29,"1 518,36532122440","7,90%"
2016-12-30,"85,55","82,5","0,964348334",#REF!,#REF!,"34,31%",2016-12-30,"1 517,19708986607","7,89%"
2017-01-02,"86,3",83,"0,961761298",#REF!,#REF!,"33,26%",2017-01-02,"1 526,82658186229","7,72%"
2017-01-03,"84,9","83,25","0,980565371",#REF!,#REF!,"34,86%",2017-01-03,"1 534,69689963887","7,31%"
2017-01-04,"84,75","83,25","0,982300885",#REF!,#REF!,"35,22%",2017-01-04,"1 530,92556801771","8,92%"
2017-01-05,"83,75","82,5","0,985074627",#REF!,#REF!,"36,36%",2017-01-05,"1 522,10278065845","9,16%"
2017-01-09,"82,5","82,5",1,#REF!,#REF!,"38,42%",2017-01-09,"1 509,82064359877","9,32%"
2017-01-10,"82,3","82,25","0,999392467",#REF!,#REF!,"38,27%",2017-01-10,"1 510,09174757427","9,25%"
2017-01-11,"82,275","82,5","1,002734731",#REF!,#REF!,"39,78%",2017-01-11,"1 511,87615189922","9,72%"
2017-01-12,"81,55",82,"1,005518087",#REF!,#REF!,"42,12%",2017-01-12,"1 503,30747845734","10,76%"
2017-01-13,"81,35","82,5","1,014136447",#REF!,#REF!,"41,49%",2017-01-13,"1 522,49013166678","9,18%"
2017-01-16,"82,5","82,5",1,#REF!,#REF!,"40,97%",2017-01-16,"1 512,96890861372","10,49%"
2017-01-17,"81,3","82,25","1,011685117",#REF!,#REF!,"42,19%",2017-01-17,"1 507,32014006883","10,93%"
2017-01-18,"81,125","82,75","1,020030817",#REF!,#REF!,"40,52%",2017-01-18,"1 515,99220958619","10,34%"
2017-01-19,81,"82,25","1,015432099",#REF!,#REF!,"42,35%",2017-01-19,"1 513,91670732568","10,82%"
2017-01-20,"81,225","82,5","1,015697138",#REF!,#REF!,"38,38%",2017-01-20,"1 525,48873608317","9,88%"
2017-01-23,"80,825","82,25","1,017630684",#REF!,#REF!,"36,72%",2017-01-23,"1 504,68796694369","11,00%"
2017-01-24,"81,275","83,25","1,024300215",#REF!,#REF!,"28,94%",2017-01-24,"1 522,85248532038","9,20%"
2017-01-25,"83,325","84,25","1,01110111",#REF!,#REF!,"25,17%",2017-01-25,"1 545,98668952855","6,29%"
2017-01-26,"83,9","84,5","1,007151371",#REF!,#REF!,"24,31%",2017-01-26,"1 553,88960123916","5,20%"
2017-01-27,"84,575","83,75","0,990245344",#REF!,#REF!,"21,31%",2017-01-27,"1 538,76139238134","5,96%"
2017-01-30,"83,825","83,5","0,996122875",#REF!,#REF!,"23,35%",2017-01-30,"1 528,88986015867","6,51%"
2017-01-31,"83,8",84,"1,002386635",#REF!,#REF!,"22,32%",2017-01-31,"1 536,75141048043","5,87%"
2017-02-01,"84,225","85,25","1,012169783",#REF!,#REF!,"23,00%",2017-02-01,"1 547,31011214045","5,58%"
2017-02-02,"84,025","84,5","1,005653079",#REF!,#REF!,"22,58%",2017-02-02,"1 551,85021400057","4,24%"
2017-02-03,"84,225","84,5","1,003265064",#REF!,#REF!,"22,89%",2017-02-03,"1 557,31316731460","4,25%"
2017-02-06,"84,2","84,25","1,000593824",#REF!,#REF!,"25,53%",2017-02-06,"1 548,89897469388","5,67%"
2017-02-07,"84,725","84,25","0,994393626",#REF!,#REF!,"22,28%",2017-02-07,"1 550,94165553569","4,29%"
2017-02-08,"85,175","85,25","1,00088054",#REF!,#REF!,"21,16%",2017-02-08,"1 549,23901735841","4,09%"
2017-02-09,"84,85","84,75","0,99882145",#REF!,#REF!,"21,27%",2017-02-09,"1 557,49699164885","3,67%"
2017-02-10,"85,25","85,25",1,#REF!,#REF!,"19,53%",2017-02-10,"1 562,72731741443","2,94%"
2017-02-13,"86,85",86,"0,990213011",#REF!,#REF!,"18,36%",2017-02-13,"1 572,18051545013","3,09%"
2017-02-14,"87,075","85,5","0,981912145",#REF!,#REF!,"17,48%",2017-02-14,"1 569,75453119332","2,79%"
2017-02-15,"88,075","85,75","0,973602044",#REF!,#REF!,"16,38%",2017-02-15,"1 574,02262863464","2,29%"
2017-02-16,"88,3","90,25","1,022083805",#REF!,#REF!,"14,27%",2017-02-16,"1 576,32737521023","1,01%"
2017-02-17,"90,1","90,5","1,004439512",#REF!,#REF!,"12,99%",2017-02-17,"1 570,58752499517","2,94%"
2017-02-20,"91,025",91,"0,99972535",#REF!,#REF!,"11,73%",2017-02-20,"1 576,32745257781","2,35%"
2017-02-21,"91,875","91,5","0,995918367",#REF!,#REF!,"9,71%",2017-02-21,"1 590,08642002961","0,34%"
2017-02-22,"91,175",91,"0,998080614",#REF!,#REF!,"10,01%",2017-02-22,"1 582,13218028820","1,08%"
2017-02-23,"91,7",92,"1,003271538",#REF!,#REF!,"10,03%",2017-02-23,"1 588,30350622567","1,42%"
2017-02-24,"90,325","91,25","1,010240797",#REF!,#REF!,"13,48%",2017-02-24,"1 569,85867722729","3,16%"
2017-02-27,"90,125","91,25","1,012482663",#REF!,#REF!,"13,62%",2017-02-27,"1 564,63204183327","3,78%"
2017-02-28,"90,2","91,25","1,011640798",#REF!,#REF!,"14,41%",2017-02-28,"1 570,17238543533","3,16%"
2017-03-01,"91,475","91,75","1,003006286",#REF!,#REF!,"12,38%",2017-03-01,"1 591,37279210770","1,15%"
2017-03-02,"90,45","91,25","1,008844666",#REF!,#REF!,"13,10%",2017-03-02,"1 580,53305490767","0,87%"
2017-03-03,"89,25",91,"1,019607843",#REF!,#REF!,"15,97%",2017-03-03,"1 581,31590167998","2,17%"
2017-03-06,"89,775","91,25","1,016429964",#REF!,#REF!,"14,73%",2017-03-06,"1 575,52257830454","2,28%"
2017-03-07,"89,35",91,"1,018466704",#REF!,#REF!,"15,28%",2017-03-07,"1 575,76844099039","1,56%"
2017-03-08,"89,275","91,5","1,024922991",#REF!,#REF!,"16,05%",2017-03-08,"1 578,22885701698","2,41%"
2017-03-09,"88,575","91,25","1,030200395",#REF!,#REF!,"16,17%",2017-03-09,"1 583,72972368251","1,42%"
2017-03-10,"88,675",91,"1,02621934",#REF!,#REF!,"15,59%",2017-03-10,"1 587,92755727800","0,44%"
2017-03-13,"88,7","91,75","1,034385569",#REF!,#REF!,"14,43%",2017-03-13,"1 594,70996391128","-0,39%"
2017-03-14,"88,05","91,75","1,042021579",#REF!,#REF!,"14,59%",2017-03-14,"1 586,00020183031","-0,57%"
2017-03-15,"88,225",92,"1,042788325",#REF!,#REF!,"13,91%",2017-03-15,"1 588,88872946725","-0,57%"
2017-03-16,89,92,"1,033707865",#REF!,#REF!,"14,27%",2017-03-16,"1 593,25362060558","-0,36%"
2017-03-17,"88,85",92,"1,035453011",#REF!,#REF!,"19,08%",2017-03-17,"1 584,96976593324","1,18%"
2017-03-20,"89,175","92,25","1,034482759",#REF!,#REF!,"18,76%",2017-03-20,"1 583,25389820360","1,77%"
2017-03-21,"88,725","91,75","1,034094111",#REF!,#REF!,"17,33%",2017-03-21,"1 570,87696451805","3,07%"
2017-03-22,"87,025","91,75","1,054294743",#REF!,#REF!,"21,23%",2017-03-22,"1 562,96130483029","4,44%"
2017-03-23,"87,85","92,75","1,055776892",#REF!,#REF!,"19,64%",2017-03-23,"1 581,28493632786","3,04%"
2017-03-24,"87,05",93,"1,068351522",#REF!,#REF!,"20,62%",2017-03-24,"1 579,69847267015","3,20%"
2017-03-27,"86,85","92,5","1,065054692",#REF!,#REF!,"21,59%",2017-03-27,"1 574,51084497791","3,42%"
2017-03-28,"87,6",93,"1,061643836",#REF!,#REF!,"19,52%",2017-03-28,"1 580,08856826432","2,99%"
2017-03-29,"87,325","93,75","1,073575723",#REF!,#REF!,"18,64%",2017-03-29,"1 584,43031234387","2,45%"
2017-03-30,"88,125","93,75","1,063829787",#REF!,#REF!,"17,45%",2017-03-30,"1 583,88218338252","2,46%"
2017-03-31,"89,5",94,"1,05027933",#REF!,#REF!,"15,31%",2017-03-31,"1 587,62636708139","2,34%"
2017-04-03,"90,125","93,5","1,037447989",#REF!,#REF!,"15,17%",2017-04-03,"1 571,40885905339","3,77%"
2017-04-04,"90,5",94,"1,038674033",#REF!,#REF!,"14,70%",2017-04-04,"1 567,30354615562","4,35%"
2017-04-05,"90,475","94,25","1,041724233",#REF!,#REF!,"15,39%",2017-04-05,"1 558,55613190618","5,46%"
2017-04-06,91,"94,25","1,035714286",#REF!,#REF!,"13,41%",2017-04-06,"1 564,05195556434","4,29%"
2017-04-07,"91,925","94,5","1,028011966",#REF!,#REF!,"10,09%",2017-04-07,"1 569,67089681109","2,22%"
2017-04-10,"92,375","94,5","1,02300406",#REF!,#REF!,"10,53%",2017-04-10,"1 572,46806284721","2,55%"
2017-04-11,"92,25","94,75","1,027100271",#REF!,#REF!,"10,68%",2017-04-11,"1 570,91257472882","2,51%"
2017-04-12,"93,275",95,"1,018493701",#REF!,#REF!,"7,53%",2017-04-12,"1 575,01769319886","1,80%"
2017-04-13,"93,85","94,5","1,006925946",#REF!,#REF!,"6,87%",2017-04-13,"1 572,81220753945","1,29%"
2017-04-18,"94,25",95,"1,00795756",#REF!,#REF!,"7,48%",2017-04-18,"1 557,20824675254","2,87%"
2017-04-19,"94,25","95,5","1,013262599",#REF!,#REF!,"6,10%",2017-04-19,"1 565,73055641348","1,22%"
2017-04-20,"94,15",96,"1,019649495",#REF!,#REF!,"3,03%",2017-04-20,"1 568,73899664846","-1,43%"
2017-04-21,"94,125","95,75","1,017264276",#REF!,#REF!,"0,56%",2017-04-21,"1 573,24530843541","-3,92%"
2017-04-24,"95,8",97,"1,012526096","0,007733688","1,004792408","2,40%",2017-04-24,"1 609,26783476481","-3,61%"
2017-04-25,"96,85","97,5","1,006711409","0,00150074","1,005210669","-2,12%",2017-04-25,"1 617,04752218932","-6,02%"
2017-04-26,"98,25",98,"0,997455471","-0,008003806","1,005459277","-4,83%",2017-04-26,"1 620,28011945129","-7,41%"
2017-04-27,"98,6",99,"1,004056795","-0,001727568","1,005784363","-3,30%",2017-04-27,"1 616,58032652991","-5,87%"
2017-04-28,"100,075","100,5","1,004246815","-0,00190953","1,006156345","-5,62%",2017-04-28,"1 626,99431617504","-6,99%"
2017-05-02,"101,175","101,75","1,005683222","-0,001027371","1,006710593","-4,23%",2017-05-02,"1 636,50789612337","-6,38%"
2017-05-03,"99,15",99,"0,998487141","-0,008656109","1,00714325","-2,62%",2017-05-03,"1 633,98682613501","-5,59%"
2017-05-04,"100,2","98,5","0,983033932","-0,024385992","1,007419924","-3,64%",2017-05-04,"1 638,33115892731","-4,97%"
2017-05-05,"100,45","98,75","0,983076157","-0,024705041","1,007781198","-3,48%",2017-05-05,"1 642,03858568776","-5,55%"
2017-05-08,"100,325","98,25","0,979317219","-0,028741817","1,008059036","-1,32%",2017-05-08,"1 639,49376888431","-4,26%"
2017-05-09,"100,625","99,25","0,986335404","-0,022034647","1,008370051","-1,22%",2017-05-09,"1 653,10805478623","-4,72%"
2017-05-10,"100,625",99,"0,983850932","-0,02469376","1,008544692","-0,42%",2017-05-10,"1 649,64687603877","-4,59%"
2017-05-11,"101,25","98,75","0,975308642","-0,033399269","1,008707911","-1,38%",2017-05-11,"1 642,01845557660","-3,95%"
2017-05-12,"101,15","98,5","0,973801285","-0,035075947","1,008877232","-0,54%",2017-05-12,"1 646,45304421387","-3,61%"
2017-05-15,"101,95",98,"0,961255517","-0,047583726","1,008839243","-2,40%",2017-05-15,"1 649,84378286980","-3,73%"
2017-05-16,"101,75","98,25","0,965601966","-0,043230119","1,008832084","-3,83%",2017-05-16,"1 653,05556415664","-4,21%"
2017-05-17,"100,55","97,25","0,967180507","-0,041676827","1,008857335","-4,67%",2017-05-17,"1 628,36602119636","-4,16%"
2017-05-18,"100,05","96,75","0,967016492","-0,041849653","1,008866145","-6,30%",2017-05-18,"1 615,26913657638","-5,50%"
2017-05-19,"99,875","97,5","0,976220275","-0,032572738","1,008793013","-5,28%",2017-05-19,"1 629,20639251767","-4,99%"
2017-05-22,"99,825","97,5","0,976709241","-0,032073846","1,008783088","-3,48%",2017-05-22,"1 629,21200959293","-4,25%"
2017-05-23,"99,95",98,"0,980490245","-0,028202966","1,008693211","-3,90%",2017-05-23,"1 641,70539145597","-4,72%"
2017-05-24,"99,925",98,"0,980735552","-0,02794843","1,008683982","-2,38%",2017-05-24,"1 638,88993079628","-3,26%"
2017-05-26,"100,125",98,"0,978776529","-0,030011083","1,008787612","-1,87%",2017-05-26,"1 635,77292719433","-2,82%"
2017-05-29,"100,05","97,75","0,977011494","-0,031901496","1,00891299","-2,15%",2017-05-29,"1 631,91449783176","-2,33%"
2017-05-30,"100,9",98,"0,971258672","-0,037748352","1,009007024","-4,06%",2017-05-30,"1 639,73637930973","-3,76%"
2017-05-31,"100,725","98,75","0,980392157","-0,028613152","1,009005309","-3,15%",2017-05-31,"1 639,10916065137","-3,28%"
2017-06-01,"102,475","97,75","0,953891193","-0,054832832","1,008724025","-4,46%",2017-06-01,"1 641,32228545135","-2,99%"
2017-06-02,"103,425",98,"0,947546531","-0,060805928","1,008352459","-6,65%",2017-06-02,"1 646,66530198976","-4,44%"
2017-06-05,"104,5","97,5","0,933014354","-0,074674881","1,007689235","-8,90%",2017-06-05,"1 637,89663095584","-5,52%"
2017-06-07,"105,075","97,25","0,925529384","-0,081428534","1,006957917","-10,25%",2017-06-07,"1 640,54217467475","-5,40%"
2017-06-08,"105,375","97,75","0,927639383","-0,078575016","1,006214399","-10,56%",2017-06-08,"1 643,76903680878","-5,72%"
2017-06-09,"106,55","98,25","0,922102299","-0,083286201","1,0053885","-13,42%",2017-06-09,"1 654,79891531032","-8,40%"
2017-06-12,"104,675","97,75","0,933842847","-0,070750667","1,004593514","-12,30%",2017-06-12,"1 638,79782739106","-7,67%"
2017-06-13,"105,2","98,25","0,933935361","-0,070004048","1,003939409","-13,12%",2017-06-13,"1 648,60941518376","-9,22%"
2017-06-14,"105,025","98,5","0,937871935","-0,06533665","1,003208585","-12,31%",2017-06-14,"1 639,59482820394","-7,90%"
2017-06-15,"104,35","97,75","0,936751318","-0,065632718","1,002384036","-12,07%",2017-06-15,"1 624,97155351117","-6,94%"
2017-06-16,"106,725","98,5","0,922932771","-0,07853543","1,001468201","-11,08%",2017-06-16,"1 635,93484206163","-6,15%"
2017-06-19,"106,225","98,75","0,929630501","-0,070985555","1,000616056","-13,25%",2017-06-19,"1 653,39535853739","-8,75%"
2017-06-20,108,99,"0,916666667","-0,082949745","0,999616412","-14,95%",2017-06-20,"1 647,66775543369","-9,29%"
2017-06-21,"109,2",98,"0,897435897","-0,100924432","0,99836033","-13,55%",2017-06-21,"1 641,70810018876","-6,97%"
2017-06-22,"110,7",98,"0,885275519","-0,111839012","0,997114532","-15,27%",2017-06-22,"1 645,35827487893","-8,14%"
2017-06-26,108,97,"0,898148148","-0,097887144","0,996035292","-13,61%",2017-06-26,"1 643,52252133204","-8,04%"
2017-06-27,"107,5",97,"0,902325581","-0,092839218","0,995164799","-13,26%",2017-06-27,"1 628,54361158713","-6,25%"
2017-06-28,"107,7",97,"0,900649954","-0,093569569","0,994219523","-15,04%",2017-06-28,"1 630,98458545394","-7,74%"
2017-06-29,"105,1",95,"0,903901047","-0,089343371","0,993244418","-11,37%",2017-06-29,"1 613,21802503377","-5,85%"
2017-06-30,"105,6",95,"0,899621212","-0,092508864","0,992130076","-12,26%",2017-06-30,"1 602,53110728381","-4,73%"
2017-07-03,"106,7",95,"0,890346767","-0,100641662","0,990988429","-12,75%",2017-07-03,"1 627,41033515619","-6,21%"
2017-07-04,"104,1",94,"0,902977906","-0,087017581","0,989995487","-9,27%",2017-07-04,"1 621,67214039820","-4,72%"
2017-07-05,"104,5",95,"0,909090909","-0,079998608","0,989089517","-10,81%",2017-07-05,"1 627,20727865973","-4,59%"
2017-07-06,"103,7",94,"0,906460945","-0,081757952","0,988218897","-9,40%",2017-07-06,"1 620,99154847796","-3,87%"
2017-07-07,"103,1",94,"0,911736178","-0,075600101","0,987336279","-8,34%",2017-07-07,"1 616,99855396944","-2,75%"
2017-07-10,"103,6",94,"0,907335907","-0,079094575","0,986430482","-9,65%",2017-07-10,"1 624,80622556648","-2,29%"
2017-07-11,"104,1",93,"0,893371758","-0,092002999","0,985374757","-11,38%",2017-07-11,"1 621,56977044001","-2,85%"
2017-07-12,"105,3",95,"0,902184236","-0,082318949","0,984503185","-11,97%",2017-07-12,"1 650,59249471252","-5,65%"
2017-07-13,"104,8",94,"0,896946565","-0,086715376","0,983661941","-4,48%",2017-07-13,"1 642,48534827941","-4,18%"
2017-07-14,"105,8",94,"0,888468809","-0,094350229","0,982819038","-6,90%",2017-07-14,"1 646,82660821282","-4,01%"
2017-07-17,107,95,"0,887850467","-0,093639528","0,981489995","-10,09%",2017-07-17,"1 639,32572184574","-4,19%"
2017-07-18,"105,5",94,"0,890995261","-0,089371524","0,980366785","-10,76%",2017-07-18,"1 607,35548274529","-1,02%"
2017-07-19,"103,7",92,"0,887174542","-0,092077878","0,97925242","-11,14%",2017-07-19,"1 609,96400004153","-2,67%"
2017-07-20,"104,1",92,"0,88376561","-0,094376387","0,978141997","-11,82%",2017-07-20,"1 597,83534376571","-1,30%"
2017-07-21,"102,8",91,"0,885214008","-0,091810498","0,977024506","-8,80%",2017-07-21,"1 581,37189201567","1,05%"
2017-07-24,"101,7",91,"0,894788594","-0,081161823","0,975950417","-6,98%",2017-07-24,"1 566,87850244109","2,68%"
2017-07-25,"102,2",91,"0,890410959","-0,084353024","0,974763983","-6,65%",2017-07-25,"1 568,90901177601","3,05%"
2017-07-26,103,91,"0,883495146","-0,089991733","0,973486879","-10,39%",2017-07-26,"1 580,22030211729","1,46%"
2017-07-27,"103,2",91,"0,881782946","-0,090418212","0,972201158","-11,29%",2017-07-27,"1 570,47583349137","1,79%"
2017-07-28,"102,8",91,"0,885214008","-0,08582089","0,971034898","-11,04%",2017-07-28,"1 557,56070875125","3,16%"
2017-07-31,"102,9",91,"0,884353741","-0,085448573","0,969802314","-10,59%",2017-07-31,"1 548,18948957328","3,49%"
2017-08-01,"104,9",92,"0,877025739","-0,091364871","0,96839061","-11,30%",2017-08-01,"1 566,31303825596","3,36%"
2017-08-02,"105,6",91,"0,861742424","-0,105116626","0,96685905","-11,13%",2017-08-02,"1 563,20455027457","3,74%"
2017-08-03,"104,6",91,"0,86998088","-0,095408014","0,965388894","-5,45%",2017-08-03,"1 559,65575403479","4,27%"
2017-08-04,"104,7",91,"0,869149952","-0,094696634","0,963846586","-7,50%",2017-08-04,"1 573,46702250669","3,24%"
2017-08-07,"105,3",92,"0,873694207","-0,088602813","0,96229702","-7,93%",2017-08-07,"1 575,47212999432","1,69%"
2017-08-08,"104,5",92,"0,880382775","-0,080470319","0,960853094","-6,32%",2017-08-08,"1 581,31887755796","0,77%"
2017-08-09,"103,8",91,"0,876685934","-0,082605777","0,959291711","-5,20%",2017-08-09,"1 571,20077830300","1,00%"
2017-08-10,"102,4",90,"0,87890625","-0,078770458","0,957676708","-2,69%",2017-08-10,"1 554,75266493396","1,72%"
2017-08-11,"100,9",90,"0,89197225","-0,06421123","0,956183479","-1,49%",2017-08-11,"1 538,95558577934","2,17%"
2017-08-14,"103,2",91,"0,881782946","-0,072896327","0,954679272","-5,28%",2017-08-14,"1 554,57762115964","0,51%"
2017-08-15,"102,3",91,"0,889540567","-0,063694028","0,953234595","-7,14%",2017-08-15,"1 543,37471667125","0,43%"
2017-08-16,"102,6",91,"0,886939571","-0,0648342","0,951773771","-5,36%",2017-08-16,"1 552,16296597815","1,12%"
2017-08-17,"102,3",91,"0,889540567","-0,060801981","0,950342548","-4,79%",2017-08-17,"1 540,08532644885","1,60%"
2017-08-18,101,90,"0,891089109","-0,057637542","0,948726651","-3,96%",2017-08-18,"1 532,11696858008","1,76%"
2017-08-21,"101,4",90,"0,887573964","-0,05948731","0,947061275","-5,33%",2017-08-21,"1 524,24977916571","2,06%"
2017-08-22,"102,3",92,"0,899315738","-0,046071915","0,945387653","-6,01%",2017-08-22,"1 543,75956532501","0,78%"
2017-08-23,"102,5",91,"0,887804878","-0,055827827","0,943632705","-5,76%",2017-08-23,"1 542,13612817713","1,88%"
2017-08-24,"100,9",91,"0,901883053","-0,040167862","0,942050915","-2,68%",2017-08-24,"1 537,98890724606","2,23%"
2017-08-25,"101,1",91,"0,900098912","-0,040234411","0,940333323","-4,70%",2017-08-25,"1 540,81992540108","1,96%"
2017-08-28,"100,9",91,"0,901883053","-0,036846837","0,93872989","-3,37%",2017-08-28,"1 536,88243643670","3,33%"
2017-08-29,"98,55",90,"0,913242009","-0,024131075","0,937373084","-3,40%",2017-08-29,"1 520,90433778998","3,26%"
2017-08-30,99,91,"0,919191919","-0,017010313","0,936202232","-3,94%",2017-08-30,"1 535,96396288578","1,67%"
2017-08-31,"100,9",92,"0,911793855","-0,023152138","0,934945993","-5,90%",2017-08-31,"1 546,85957311060","1,16%"
2017-09-01,"101,3",92,"0,908193485","-0,025430422","0,933623906","-6,66%",2017-09-01,"1 558,79091488653","0,87%"
2017-09-04,"100,3",92,"0,917248255","-0,01520272","0,932450975","-5,73%",2017-09-04,"1 551,89134133653","-0,15%"
2017-09-05,"100,4",92,"0,916334661","-0,015010598","0,931345259","-5,28%",2017-09-05,"1 546,98867227348","-0,80%"
2017-09-06,"100,3",91,"0,907278166","-0,022921293","0,930199458","-5,23%",2017-09-06,"1 541,27077169022","-0,78%"
2017-09-07,"100,9",92,"0,911793855","-0,017263955","0,929057811","-5,35%",2017-09-07,"1 553,02451169247","-0,78%"
2017-09-08,"101,6",92,"0,905511811","-0,022427367","0,927939178","-6,74%",2017-09-08,"1 552,31701057698","-1,33%"
2017-09-11,"102,5",92,"0,897560976","-0,029295381","0,926856357","-5,46%",2017-09-11,"1 572,16281314086","-0,85%"
2017-09-12,"103,1",93,"0,902036857","-0,023770779","0,925807637","-7,95%",2017-09-12,"1 580,13075960481","-2,49%"
2017-09-13,"104,1",93,"0,893371758","-0,031248841","0,924620599","-8,17%",2017-09-13,"1 580,03848427760","-2,64%"
2017-09-14,"106,4",94,"0,883458647","-0,039813528","0,923272175","-11,33%",2017-09-14,"1 587,52448098848","-4,11%"
2017-09-15,106,93,"0,877358491","-0,044528478","0,921886969","-11,18%",2017-09-15,"1 578,86813550465","-3,31%"
2017-09-18,"107,2",94,"0,876865672","-0,043678125","0,920543796","-12,87%",2017-09-18,"1 582,78364546328","-3,70%"
2017-09-19,"107,7",94,"0,8727948","-0,046423089","0,919217889","-12,16%",2017-09-19,"1 584,42618493982","-2,74%"
2017-09-20,108,94,"0,87037037","-0,047589251","0,917959621","-10,65%",2017-09-20,"1 585,37983863568","-2,33%"
2017-09-21,"109,4",94,"0,859232176","-0,057293538","0,916525714","-13,30%",2017-09-21,"1 596,31236853396","-4,39%"
2017-09-22,"109,4",94,"0,859232176","-0,05585775","0,915089925","-12,66%",2017-09-22,"1 600,77278927832","-3,70%"
2017-09-25,"108,8",94,"0,863970588","-0,049716242","0,91368683","-11,44%",2017-09-25,"1 604,09848517844","-3,32%"
2017-09-26,"107,5",95,"0,88372093","-0,028829601","0,912550531","-10,42%",2017-09-26,"1 610,75612456686","-3,60%"
2017-09-27,"107,9",95,"0,880444856","-0,031089941","0,911534797","-11,77%",2017-09-27,"1 623,77253437852","-4,14%"
2017-09-28,"109,3",96,"0,87831656","-0,032181014","0,910497574","-12,63%",2017-09-28,"1 624,97891651268","-3,36%"
2017-09-29,"110,3",96,"0,870353581","-0,039065145","0,909418726","-13,42%",2017-09-29,"1 637,81821693497","-3,26%"
2017-10-02,"110,9",96,"0,865644725","-0,042579044","0,908223769","-13,75%",2017-10-02,"1 640,65135847749","-3,73%"
2017-10-03,"112,3",96,"0,854853072","-0,05209349","0,906946562","-14,87%",2017-10-03,"1 649,17682221816","-4,16%"
2017-10-04,"113,3",96,"0,847308032","-0,058371197","0,905679229","-15,14%",2017-10-04,"1 651,08909383207","-3,01%"
2017-10-05,"112,7",94,"0,83407276","-0,070223019","0,904295778","-14,20%",2017-10-05,"1 653,15152993452","-3,62%"
2017-10-06,"112,5",94,"0,835555556","-0,067495669","0,903051224","-14,31%",2017-10-06,"1 646,27781468722","-2,28%"
2017-10-09,"112,8",94,"0,833333333","-0,068408301","0,901741634","-13,08%",2017-10-09,"1 647,92444671847","-2,13%"
2017-10-10,"113,8",94,"0,826010545","-0,074333367","0,900343912","-14,41%",2017-10-10,"1 644,34086088740","-2,02%"
2017-10-11,114,95,"0,833333333","-0,065686983","0,899020316","-14,12%",2017-10-11,"1 641,70464428792","-1,59%"
2017-10-12,"115,6",94,"0,813148789","-0,084256958","0,897405747","-15,27%",2017-10-12,"1 644,64781679134","-1,95%"
2017-10-13,"115,5",95,"0,822510823","-0,073368207","0,89587903","-16,23%",2017-10-13,"1 642,49085502103","-2,71%"
